index,trial_log,object,affordance_ratio_pct,affordance_result,rotation_deg,hoe_func_deg,inference_time_s,grasp_time_s,total_time_s,obj_pos_z,note
1,trial_1.log,hammer,33.9,HIT,+57.6,-9.8,12.19,14.27,118.01,0.798,
2,trial_2.log,hammer,70.2,MISS,-5.1,+12.6,8.55,19.68,59.56,0.805,
3,trial_4.log,hammer,19.8,HIT,-26.0,-14.4,9.74,20.67,80.44,0.796,
4,trial_6.log,hammer,3.5,HIT,+59.8,-24.8,9.49,47.41,124.10,0.859,
5,trial_7.log,hammer,76.2,MISS,-51.8,+2.4,9.86,64.75,91.34,0.792,
6,trial_8.log,hammer,25.8,HIT,-17.1,-4.8,9.14,14.66,58.78,0.781,
7,trial_10.log,hammer,40.0,HIT,+75.3,-7.3,7.61,14.24,107.45,0.796,
8,trial_13.log,hammer,100.0,MISS,+76.6,+135.2,9.70,21.06,58.11,0.782,
9,trial_20.log,hammer,22.4,HIT,+53.5,+158.4,10.98,21.28,101.13,0.798,
10,trial_22.log,hammer,8.5,HIT,+14.0,+27.5,9.00,24.50,54.57,0.789,
