index,trial_log,object,affordance_ratio_pct,affordance_result,rotation_deg,hoe_func_deg,inference_time_s,grasp_time_s,total_time_s,obj_pos_z,note
1,trial_1.log,scissors,24.1,MISS,-94.0,+153.6,14.27,14.15,74.88,,
2,trial_3.log,scissors,100.0,HIT,-44.7,+142.8,12.13,14.16,49.16,,
3,trial_4.log,scissors,89.1,HIT,-3.6,-22.7,10.49,25.27,55.67,,
4,trial_6.log,scissors,0.0,MISS,-143.4,+140.3,12.99,56.37,86.42,0.789,
5,trial_8.log,scissors,100.0,HIT,-94.8,-22.2,10.68,33.48,73.36,0.784,
6,trial_9.log,scissors,100.0,HIT,+123.4,-35.3,10.71,20.68,63.75,0.773,
7,trial_10.log,scissors,59.3,MISS,+19.0,-71.5,10.95,29.86,66.88,0.775,
8,trial_12.log,scissors,100.0,HIT,-7.9,-24.3,10.63,28.38,85.36,0.788,
9,trial_15.log,scissors,100.0,HIT,-147.6,-19.8,13.82,13.86,45.36,0.781,
10,trial_17.log,scissors,100.0,HIT,-14.5,-21.9,10.84,15.25,45.58,0.799,
